stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0.5,4.0,48.544832499930635,,48.52930699987337,48.544832499930635,49.028382799820974,49.028382799820974,49.04501089989208,49.33019269979559,49.59652249980718,left,-4.0,1,1,0.5530916000716388,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
46,0.5,3.5,49.61153949983418,,49.596628699917346,49.61153949983418,50.11232229997404,50.11232229997404,50.11232229997404,50.41286449995823,50.56397229991853,right,3.5,0,0,0.4446815000846982,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
47,0.5,4.0,50.57822689996101,,50.56408999999985,50.57822689996101,51.07884309999645,51.07884309999645,51.07884309999645,51.37794929998927,51.61586549994536,right,4.0,1,1,0.5265552001073956,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
48,0.5,4.0,51.62816379987635,,51.616053899982944,51.62816379987635,52.12837209994905,52.12837209994905,52.12837209994905,52.427901099901646,52.61450419994071,left,-4.0,1,1,0.4720859001390636,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
49,0.5,4.0,52.628172899829224,,52.61464659986086,52.628172899829224,53.12796389986761,53.12796389986761,53.12796389986761,53.42877659993246,54.04794800002128,left,-4.0,1,1,0.9101285000797361,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
50,0.5,3.5,54.0611268999055,,54.04801699984819,54.0611268999055,54.56260839989409,54.56260839989409,54.56260839989409,54.877756299916655,55.14580919989385,left,-3.5,1,1,0.5674656999763101,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
51,0.5,3.5,55.16124189994298,,55.14591869991273,55.16124189994298,55.64507259987295,55.64507259987295,55.6616254998371,55.944712799973786,56.17908109980635,right,3.5,1,1,0.5232724000234157,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
52,0.5,3.5,56.19461250002496,,56.17916389997117,56.19461250002496,56.678644199855626,56.678644199855626,56.696508300025016,56.97978089982644,57.12952600000426,left,-3.5,1,1,0.4409330999478698,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
53,0.5,3.0,57.1447544998955,,57.129639899823815,57.1447544998955,57.64521089987829,57.64521089987829,57.64521089987829,57.94603079999797,58.113245599903166,right,3.0,0,0,0.4604646998923272,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
54,0.5,3.5,58.12902279989794,,58.11333530000411,58.12902279989794,58.62846129992977,58.62846129992977,58.62846129992977,58.92914339993149,59.146192099899054,right,3.5,0,0,0.5030408001039177,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
